n,z,excess
71,51,-88335.370
70,52,-90314.460
69,53,-86080.460
68,54,-85354.977
67,55,-78144.759
66,56,-74608.944
77,46,-60429.742
76,47,-69548.078
75,48,-77414.181
74,49,-83430.353
73,50,-87816.181
72,51,-89224.069
71,52,-89172.156
70,53,-87943.727
69,54,-85248.701
68,55,-81043.646
67,56,-75654.953
77,47,-66200.134
76,48,-76701.672
75,49,-80870.201
74,50,-88234.193
73,51,-87620.248
72,52,-90525.321
71,53,-87365.734
70,54,-87661.421
69,55,-81731.334
68,56,-79089.775
67,57,-70258.610
78,47,-64519.932
77,48,-73348.095
76,49,-80476.805
75,50,-85896.376
74,51,-88256.274
73,52,-89022.974
72,53,-88837.204
71,54,-87193.381
70,55,-84087.950
69,56,-79668.965
68,57,-73759.484
78,48,-72256.802
77,49,-77772.908
76,50,-86015.240
75,51,-86393.240
74,52,-90065.348
73,53,-87911.318
72,54,-89146.962
71,55,-84350.829
70,56,-82669.902
69,57,-74973.468
68,58,-70820.558
79,48,-68747.402
78,49,-76896.184
77,50,-83470.803
76,51,-86699.477
75,52,-88281.678
74,53,-88983.909
73,54,-88321.560
72,55,-86240.154
71,56,-82817.944
70,57,-77896.108
69,58,-71979.336
80,48,-67241.890
79,49,-74145.941
78,50,-83362.008
77,51,-84630.286
76,52,-88993.716
75,53,-87738.724
74,54,-89860.298
73,55,-85931.581
72,56,-85378.497
71,57,-78625.431
70,58,-75533.917
69,59,-66330.757
81,48,-63058.046
80,49,-72837.720
79,50,-80590.903
78,51,-84629.307
77,52,-87004.807
76,53,-88507.125
75,54,-88696.05896
74,55,-87499.246
73,56,-85063.198
72,57,-81324.573
71,58,-76287.496
70,59,-69773.558
82,48,-61117.589
81,49,-69883.206
80,50,-80132.206
79,51,-82285.676
78,52,-87352.949
77,53,-86936.138
76,54,-89880.463
75,55,-86899.743
74,56,-87261.544
73,57,-81627.366
72,58,-79422.905
71,59,-71175.457
70,60,-66596.232
83,48,-55218.965
82,49,-68025.030
81,50,-77264.571
80,51,-81981.401
79,52,-85211.012
78,53,-87442.710
77,54,-88413.558
76,55,-88058.786
75,56,-86683.731
74,57,-83769.256
73,58,-79708.440
72,59,-74300.656
71,60,-67768.033
83,49,-62411.542
82,50,-76546.542
81,51,-79635.271
80,52,-85188.186
79,53,-85703.490
78,54,-89278.96179
77,55,-87152.681
76,56,-88435.017
75,57,-83723.650
74,58,-82470.896
73,59,-75227.456
72,60,-71425.807
83,50,-70873.880
82,51,-78923.503
81,52,-82937.122
80,53,-85858.260
79,54,-87643.571
78,55,-88070.931
77,56,-87553.613
76,57,-85494.383
75,58,-82418.214
74,59,-77937.581
73,60,-72332.372
72,61,-65407.646
84,50,-66433.748
83,51,-74020.542
82,52,-82533.741
81,53,-84043.429
80,54,-88125.822
79,55,-86891.154
78,56,-88949.853
77,57,-85218.650
76,58,-84832.889
75,59,-78527.991
74,60,-75646.432
73,61,-66738.751
85,50,-60632.244
84,51,-69690.323
83,52,-77728.780
82,53,-83779.145
81,54,-86413.151
80,55,-87581.643
79,56,-87850.498
78,57,-86643.317
77,58,-84616.171
76,59,-80935.861
75,60,-76213.609
74,61,-70052.075
73,62,-62857.215
85,51,-64506.880
84,52,-74425.269
83,53,-79545.214
82,54,-86429.159
81,55,-86338.697
80,56,-88886.921
79,57,-86037.479
78,58,-86508.372
77,59,-81340.355
76,60,-79199.287
75,61,-71169.915
74,62,-66810.890
86,51,-60060.384
85,52,-69303.753
84,53,-76356.258
83,54,-82383.404
82,55,-86545.606
81,56,-87721.235
80,57,-87140.688
79,58,-85918.588
78,59,-83201.693
77,60,-79584.567
76,61,-74072.848
75,62,-68026.525
74,63,-60145.895
87,51,-54220.403
86,52,-65695.985
85,53,-71979.900
84,54,-79972.233
83,55,-82886.937
82,56,-88261.638
81,57,-86519.180
80,58,-87570.922
79,59,-83133.922
78,60,-82018.310
77,61,-74940.483
76,62,-71497.762
75,63,-61749.669
87,52,-60205.072
86,53,-68470.954
85,54,-75644.576
84,55,-80700.921
83,56,-84913.751
82,57,-87226.212
81,58,-86947.862
80,59,-84818.798
79,60,-82013.942
78,61,-77500.481
77,62,-72380.219
76,63,-65398.042
88,52,-56576.228
87,53,-63606.213
86,54,-72986.451
85,55,-77050.105
84,56,-83269.354
83,57,-84315.871
82,58,-88076.089
81,59,-84688.089
80,60,-84258.912
79,61,-78213.712
78,62,-75455.935
77,63,-66985.935
76,64,-61782.271
75,65,-50482.271
88,53,-59926.657
87,54,-68197.299
86,55,-74477.523
85,56,-79732.626
84,57,-82931.636
83,58,-85432.916
82,59,-86015.644
81,60,-84192.630
80,61,-80522.921
79,62,-75933.909
78,63,-69925.629
77,64,-63224.224
76,65,-54540.837
89,53,-54769.984
88,54,-65229.639
87,55,-70514.550
86,56,-77842.264
85,57,-80024.227
84,58,-84533.188
83,59,-83787.476
82,60,-85949.980
81,61,-81142.044
80,62,-78986.470
79,63,-71313.470
78,64,-66959.515
77,65,-56559.515
89,54,-60202.873
88,55,-67675.509
87,56,-73937.197
86,57,-78171.515
85,58,-81606.671
84,59,-83068.246
83,60,-84002.234
82,61,-82960.651
81,62,-79517.152
80,63,-74241.300
79,64,-68231.300
78,65,-60419.183
77,66,-52168.941
90,54,-56872.293
89,55,-63271.353
88,56,-71767.121
87,57,-74849.652
86,58,-80431.870
85,59,-80750.517
84,60,-83747.957
83,61,-81416.093
